84,diply.com,301,301
50,blogspot.com,302,302
67,xhamster.com,301,301
5,yahoo.com,302,301
62,google.co.kr,200,200
1,google.com,302,302
59,google.com.hk,200,200
61,google.ca,200,200
80,cnn.com,302,302
71,craigslist.org,302,302
53,apple.com,200,200
8,twitter.com,301,301
2,youtube.com,200,301
74,office.com,200,302
73,google.co.id,200,200
63,fc2.com,301,301
4,baidu.com,200,200
56,google.com.mx,200,200
52,naver.com,403,200
60,pornhub.com,301,200
69,google.com.tr,200,200
65,soso.com,302,302
66,blogger.com,302,302
83,google.com.au,200,200
10,google.co.in,200,200
76,google.pl,200,200
7,amazon.com,503,301
3,facebook.com,200,302
82,163.com,503,200
6,wikipedia.org,200,301
77,dropbox.com,200,301
57,imdb.com,302,200
68,ok.ru,200,302
78,cntv.cn,503,200
55,aliexpress.com,200,200
58,whatsapp.com,200,200
72,amazon.de,200,503
79,rakuten.co.jp,200,200
64,youth.cn,200,200
51,github.com,301,301
70,amazon.in,301,200
81,booking.com,200,200
9,qq.com,404,200
